id,loc,lat,lon,elev
96009,Lhokseumawe-Malikussaleh,5.228611111,96.94722222,28
96011,Banda Aceh-Blangbintang,5.522222222,95.41666667,20
96035,Kualanamu Medan,3.640277778,98.87833333,25
96073,Sibolga-Pinangsori,1.553055556,98.88305556,10
96091,Tanjungpinang-Kijang,0.918333333,104.53,17
96109,Pakanbaru-Simpangtiga,0.466666667,101.45,31
96145,Tarempa,3.214722222,106.2197222,2
96147,Ranai-Ranai,3.911944444,108.3933333,2
96163,Mia Padang,-0.793333333,100.2888889,6
96171,Rengat-Japura,-0.349166667,102.3338889,19
96179,Singkep-Dabo,-0.478611111,104.5775,24
96195,Jambi-Sultan Taha,-1.633055556,103.65,25
96221,Palembang-Talangbetutu,-2.899722222,104.7,14
96237,Pangkalpinang-Pangkalpinang,-2.166666667,106.1330556,33
96249,Tanjungpandan-Buluh Tumbang,-2.75,107.75,50
96253,Bengkulu-Padangkemiling,-3.883055556,102.3330556,16
96295,Tanjung Karang-Radin Inten Ii,-5.099722222,105.1830556,94
96509,Tarakan-Juwata,3.333055556,117.5666667,6
96581,Pontianak-Supadio,-0.15,109.4,3
96633,Balikpapan-Sepinggan,-1.262222222,116.8944444,3
96645,Pangkalan Bun-Iskandar,-2.7,111.7,25
96655,Palangka Raya-Tjilik Riwut,-2.228055556,113.9461111,27
96685,Banjarmasin-Syamsuddin Noor,-3.438611111,114.7522222,16
96749,Jakarta-Soekarno-Hatta,-6.121944444,106.6544444,8
96805,Cilacap,-7.733055556,109.0166667,6
96839,Semarang-Ahmadyani,-6.983055556,110.3830556,3
96933,Surabaya-Perak,-7.223611111,112.7238889,3
96935,Surabaya-Juanda,-7.3725,112.7797222,3
97014,Menado-Dr. Sam Ratulangi,1.545833333,124.9227778,23
97028,Toli-Toli-Lalos,1.121111111,120.7941667,6
97048,Gorontalo-Jalaluddin,0.638888889,122.8511111,32
97072,Palu-Mutiara,-0.916111111,119.9052778,84
97086,Luwuk-Bubung,-1.041111111,122.7711111,19
97096,Poso-Kasiguncu,-1.42,120.6569444,16
97120,Majene,-3.550555556,118.9802778,29
97180,Ujung Pandang-Hasanuddin,-5.070833333,119.5519444,14
97192,Bau-Bau-Beto Ambiri,-5.487777778,122.5708333,35
97230,Denpasar-Ngurah-Rai,-8.749722222,115.1763889,4
97260,Sumbawa Besar-Sumbawa Besar,-8.487777778,117.4133333,10
97270,Bima,-8.542222222,118.6927778,3
97300,Maumere-Wai Oti,-8.635555556,122.2372222,31
97340,Waingapu-Mau Hau,-9.669444444,120.2994444,100
97372,Kupang-El Tari,-10.1675,123.67,102
97430,Ternate-Babullah,0.828888889,127.3811111,32
97460,Labuha-Oesman Sadik,-0.633055556,127.5,3
97502,Deo Sorong,-0.891111111,131.2855556,3
97530,Manokwari-Rendani,-0.892222222,134.0502778,3
97560,Biak-Mokmer,-1.183055556,136.1166667,11
97690,Jayapura-Sentani,-2.575833333,140.5183333,80
97724,Ambon-Pattimura,-3.711111111,128.0852778,14
97760,Kaimana-Utarom,-3.643611111,133.6966667,5
97796,Timika,-4.529444444,136.8925,41
97810,Tual-Dumatubun,-5.663611111,132.7358333,6
97876,Tanah Merah-Tanah Merah,-6.099722222,140.3,16
97900,Saumlaki,-7.983055556,131.3,24
97980,Merauke-Mopah,-8.52,140.4155556,3
