pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw,date
1009.0,25.0,27.0,25.3,0.0,0.0,-0.0,-0.0,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
1008.0,32.0,26.4,24.7,342.0,1.0,0.3090169943749476,-0.9510565162951535,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
1000.0,91.0,27.0,24.1,200.0,5.0,1.7101007166283433,4.698463103929543,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
998.0,109.0,27.6,24.1,202.0,5.0,1.87303296707956,4.635919272833937,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
977.0,297.0,27.8,23.6,220.0,5.0,3.2139380484326963,3.83022221559489,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
971.0,352.0,27.8,23.5,208.0,6.0,2.8168293767153454,5.297685557153561,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
944.0,601.0,26.9,20.4,155.0,8.0,-3.380946093925596,7.2504622962931995,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
937.0,667.0,26.6,19.6,155.0,9.0,-3.8035643556662952,8.15677008332985,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
933.0,704.0,27.4,13.4,155.0,10.0,-4.2261826174069945,9.063077870366499,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
925.0,780.0,27.0,13.0,155.0,11.0,-4.648800879147695,9.96938565740315,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
913.0,895.0,25.9,15.4,165.0,11.0,-2.8470094961277312,10.62518408917975,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
894.0,1081.0,24.2,19.2,186.0,8.0,0.836227706141228,7.956175162946186,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
882.0,1199.0,23.4,18.5,200.0,6.0,2.052120859954012,5.638155724715451,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
852.0,1501.0,21.3,16.8,180.0,6.0,-7.347880794884119e-16,6.0,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
850.0,1522.0,21.2,16.7,175.0,6.0,-0.5229344564859492,5.977168188550474,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
821.0,1823.0,20.0,13.0,191.0,5.0,0.9540449768827236,4.90813591723832,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
795.0,2096.0,17.9,11.9,205.0,4.0,1.690473046962797,3.6252311481466,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
768.0,2390.0,15.7,10.7,0.0,0.0,-0.0,-0.0,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
741.0,2695.0,13.3,9.5,0.0,4.0,-0.0,-4.0,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
724.0,2893.0,11.8,8.7,253.0,3.0,2.8689142678891058,0.8771151141682113,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
718.0,2962.0,12.6,4.6,214.0,3.0,1.6775787104122402,2.4871127176651253,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
715.0,2997.0,12.4,4.4,195.0,3.0,0.7764571353075624,2.897777478867205,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
700.0,3175.0,11.2,3.2,190.0,5.0,0.8682408883346524,4.92403876506104,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
690.0,3294.0,10.6,2.3,160.0,6.0,-2.0521208599540133,5.63815572471545,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
665.0,3601.0,8.9,0.1,170.0,10.0,-1.7364817766693028,9.84807753012208,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
655.0,3727.0,8.2,-0.8,201.0,9.0,3.225311545907704,8.402223838474816,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
641.0,3902.0,6.8,-1.3,245.0,8.0,7.2504622962932,3.3809460939255933,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
578.0,4744.0,0.0,-3.8,268.0,9.0,8.994517443171862,0.31409547032250684,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
574.0,4799.0,-0.3,-4.0,270.0,9.0,9.0,1.6532731788489267e-15,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
553.0,5094.0,-2.3,-4.8,245.0,11.0,9.969385657403151,4.648800879147691,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
532.0,5401.0,-4.2,-5.7,225.0,12.0,8.48528137423857,8.485281374238571,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
517.0,5628.0,-5.7,-6.4,225.0,14.0,9.899494936611664,9.899494936611667,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
512.0,5704.0,-5.7,-7.0,225.0,14.0,9.899494936611664,9.899494936611667,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
503.0,5843.0,-5.7,-8.1,251.0,7.0,6.618630029195218,2.2789770812000967,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
500.0,5890.0,-5.9,-8.3,260.0,5.0,4.92403876506104,0.8682408883346516,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
493.0,6000.0,-6.5,-9.0,270.0,4.0,4.0,7.347880794884119e-16,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
474.0,6306.0,-8.0,-10.8,270.0,3.0,3.0,5.51091059616309e-16,96035,96035,2025-06-01,3.56,98.68,25.0,57.43,2025-06-01
